Tweets,Positive,Negative
 فوراا پابند سلاسل ھونا چاہئے اس کنجر کو ,yes,
 خان تیری گانڈ بھی مارے گا اور تجھے پتہ بھی نہی چلے گا گھٹیا عورت,,no
 بلکل ٹھیک کہا تو نے رنڈی ہمارے سابق وزیراعظم اب تک مودی کی ٹانگیں توڑ چکے ہوتے ,yes,
ہمیں اب انتظار کی بجاۓ ان ہندو کتوں کو سبق سکھا دینا چاہۓ ,yes,
اپوزیشن کا صرف ایک ہی اعلاج ہے ان کی گانڈ میں گولیاں ماری جائیں یہ مادرچود کے بچے اس ملک کا بھلا کبھی نہیں چاہینگے,,no
 انکو سبق سکھا دیں گے موتر پینے والوں کو ان شاءاللہ ,yes,
 فوج نے کونسا تیری گانڈ ماری ہے جو بھونکتا جا رہا ہے نکل تیری زات کا بھیدا ماروں,,no
 یہ کمینے انڈیا کو سبق سکھا رھے ہیں کرتوت دیکھو ان لعنتیوں کے ,yes,
معافی مانگو یا نہ مانگو تم جیسی رنڈیوں کو تو وہ سبق سکھا کر چھوڑے گا,yes,
 ڈیل پوئ کہ ارسطو کی گانڈ مودی مارے گا جبکہ مریم یم یم روایتی طور پر قطری کو پیش کی جائے گی۔  ,,no
 پکڑ کر اس کی گانڈ مارے نیب صرف گانڈ پھاڑے مار مار کر اور مریم صفدر کی چیخیں نکلوائے ,,no
جب آپ کی چوت ماری جا رہی تھی تب کا آپ کو پتہ ہے یا نہیں  ,,no
 ریہام خان تیری گانڈ ایسی ماری عمران خان نے کہ گشتوڑی تجھے رے رے کر درد اٹھتا ہے اور یہ درد ہی ہمیں مزہ دیتا ہے ,,no
 اہو اب بہت ساروں کی گانڈ میں چالیس ملک امت امت والا کیڑا سٹ مارے گا ,,no
جس کا آپ دفاع کرنے  آئے  ہیں پہلے اس کی پروفائل تو چیک کر لیں مجھے کسی کیسی گالیاں دی ہیں ,yes,
میرا کشمیر واپس کر حرامزادے,yes,
او چولو ابھی جو کشمیر میں شہید ہو رہے وہ کہاں سے پاکستانی ہیں ؟ اگر گانڈ دکھانی تھی تو ستر سال سے نعرے کیوں مارے؟… ,,no
 یار افغانیوں کی ماں بہن کی چدائی کرنے کا بہت مزہ آتا ہے بہت سفید ہوتی ہیں,,no
حرام حان میرے سامنے ہوتی تو اس کی گردن ہی توڑ ریتی ,yes,
کسی کنجری کے بچے منہ سنبھال کے بات کر جو بھی ہے تُو سامنے آ کر بات کرنے كتی کا پُتر ,yes,
انکی صحیح گانڈ ماری جا ری ,,no
 اک بات بتاؤ اگر کویی تمہاری گانڈ مار دے تو تم اسکو معاف کر دو گے اور بولو گے  ,,no
اوئے لنڈے کے ارسطو درباری ,yes,
 زرداری صاحب ان کی گانڈ مارے گا تھوڑا صبر کر جاؤ ,,no
 رنڈی کے بچے یہ تیرا اور تیرے لندن والوں کا کام ہے تیری گانڈ ماری ہے,,no
 سب سے پہلے تو اس حرامزادے اور اس کی بدچلن بیٹی کے غریب عوام کا لوٹا ہوا پیسہ نکلوائیں,yes,
 اس حرامزادے نے تو کہا تھا کہ میں نے کوئی تنخواہ نہیں لی کان کھول کر سن لے,yes,
" ہر اُس شخص کی گانڈ مارے گیِ فوج جو پاکستان سے غداری کرے گا، چاہے وہ کسی بھی قوم سے ہو، ہر غدار کو انجام تک پہنچایا جائے گا",,no
 کتے کے بچے کان کھول کر سن لے لبیک والے ہی مسلمان ہیں کانے دجال کے  پیروکار دنیا کے غلیظ ترین کافر ہیں,yes,
کشمیر کے سوداگروں کان کھول کر سن لو ہمیں تمارے اس سودا پر لعنت بھیجتے ہے,yes,
 جی بیٹا میں تماری گانڈ ہم نے بہت اچھے طریقے سے ماری تھی,,no
وہ کان کھول کرسن لے باجوہ صاحب نے تین سال کہیں نہیں جانا یہ ڈنڈا یاد رکھنا,yes,
 بیٹا تو یہ اپنی بکواس اپنے پاس ,,no
کتو غدارو کان کھول کر سن لو ,yes,
 ابھے گانڈو یہی  پرابلم ہے میرے ملک میں جسکے پاس چار پیسے آ گئے حرام یا حلال کے وہ خود کو قانونسے بالا سمجھتا ہے,yes,
 بیٹا تو یہ اپنی بکواس اپنے پاس ,,no
ولید اقبال نے اس عورت نما مرد کی طبیعت صاف کرکے اس کی اوقات یاد دلائی تھی اس وقت اس کی شکل دیکھنے والی تھی ,yes,
چوتیاپ۔ ٹویٹر پہ آکے بس بکواس کرنا ہوتی ہے۔ پتہ چاہے کچھ بھی نہ ہو ,,no
"اس کتے حرامزادے، دلے، دلال، بغیرت، لعنتی، کھوتے کی طبیعت سب لوگ صاف کریں تا کہ اس دو ٹکے کے جاہل کو اپنی اوقات کا پتہ چل جائے",yes,
 آپکا کام صرف بک بک کرنا ھے ,yes,
 پیشاب پینے والوں اپنی بکواس بند رکھو نہیں تو ہم پاکستانی تمہاری بکواس کے ساتھ ساتھ تمہارہ گانڈ بھی بند کر دیں گے,,no
 تو جائو مرو جہاد کرو بک بک کرنا جہاد نہیں منافق بنے بیٹھے ہو اگر علاج معلوم ہے تو کرتے کیوں نہیں,yes,
 بکواس کے علاوہ بھی کچھ بھیج سکتا ہے؟ ,,no
 ککڑ اب اپ کی بک بک کوئی نھی سنتا اور نہ کوئی پڑھتا ھے مزید اب اپ بکواس کرنا بند کر دو ,yes,
پتہ ہے تو ٹویٹ پر بکواس لکھنے سے پہلے خود کچھ پڑھ لینا چاہیے,,no
 تم تو اپنا منہ بند رکھوں کس کس کی وکالت کرو گیمنہ بند ,yes,
 یہ بھی ہو جائے گا۔ تُم اپنی چونچ بند رکھو,yes,
او غلیظ عورت اپنا پھدی جیسا منہ بند کر ,yes,
 آپ کی بکواس کا ہمیں یقین نہیں ذرا دیکھیں آپ کے ابا جی کیا فرما رہے ہیں  ,,no
 بکواس کرنے سے باز نہیں آنا۔ناسور  ,,no
 گھٹیا عورت اس میں سوال کہاں ہے ؟  ,,no
کوئی بھی منہ اُٹھا کر کسی شریف عورت کو ہیرس کرنا شروع کر دے ,,no
وڈے سائنسدان کتے دے بچے حرامی کی اولاد کشمیر کا سودا کرکے اب بکواس کررہے ہیں تمھاری اوقات حتم ہوگی انہی دیو  ,,no
 یہ حاجی نہیں ہے اور نہ یہ حج کرنے گیا ہے یہ حرامی ہے جو کسی کے ہاتھ بک گیا ویڈیو بنانے کے لیے ,,no
میری جان کیوں بکواس کرتے ہو  ,,no
کہ کاش آج کوئی باغیرت مسلمان حکمران ہوتا تو کوئی گاۓ کا پیشاب پینے والا انہ ہوتا ,,no
 اس کو بھی پتہ ہوتا سننے والے گدھے ہیں جو مرضی بکواس کر لو انہوں نے یہی کہنا شیر ,,no
" جب بولنا واہیات بکواس ہی کرنا، اب سمجھ آتا ہے خان نے تم سے کیوں جان چھڑوای  ",,no
 اپنا منہ بند کر دو منہ والی سپنی ,yes,
بے شرم بے حیا ,yes,
بلال اپنا منہ بند ہی رکھے تو اچھا ہے ,yes,
 یہ بہت بکواس کرنے لگ گئے ہیں اپنی باری ان کو لال مرچیں لڑتی ہیں گائے کا پیشاپ پینے والی گندی قوم ,,no
 یوتھیو دیکھو اور کان کھول کر سنو یہ کتا نیازی کیا بکواس کرتا رہا ہے ماضی میں پاک فوج کے خلاف  ,,no
 تیری ماں یہ بکواس پڑھے تو اسے ضرور شرم آئے گی ایسا حرام زادی پیدا کرنے پہ  ,,no
جب تک تیرا منہ بند نہیں ہوگا حالات ایسے ہی رہینگے ,yes,
 تمھاری یہ کُتے والی بکواس پچھلے سال سے سُن رہے ہیں لہذا اپنا گند سے بھرا منہ بند کر لو زلیل پٹواری ,yes,
 گھٹیا انسان بکواس کر کے لوگوں کو کیوں گمراہ کرتے ھو  ,,no
یعنی تبدیلی نہیں آئی ایک انتقام لینے والا گروپ سلیکٹرز لیکر آئے ہیں جتنے آپ نے نام گنوائے ہیں سب جیل میں ہیں ,,no
 تمھاری قسمت میں اب صرف اور صرف بکواس کرنا رہ گیا ہے اب تو لگتا ہے تم پاکستان مخالف قوتوں کے ہاتھوں بک گئے ہو ,,no
 کمینی منہ بند رکھ اپنا ,yes,
تم نے ثابت کیا ہے کہ خان سے اپنی گانڈ مروا مروا کے تمہاری مت ہی ماری گئی ہے,yes,
 ابھے چل بھے جب دیکھو بکواس کرتا رہتا ھے,,no
کھوتی کے بچو بس بھونکتے ہی رہتے ہو ہر وقت مولانا فضل الرحمٰن کی پالیسی پر تب تو انڈیا کی ہمت نہیں,yes,
" اپنی اس بھگوڑی سے کہو کہ اکاؤنٹ میں اتنا پیسہ کہاں سے آیا، کیس ختم۔ ",,no
 چل مونچوں والے کتے پاک فوج پربھونکتا را کے اہجنٹ تیری گانڈ پر گولی مارے گے  ,yes,
 ان دونوں نے تمہاری باجی کی گانڈ ماری ہی ؟ ,yes,
 بیشرم آدمی کچھ نہیں تو اپنے سفید بالوں کا ہی لحاظ کرو ۔ پاکستان کو نوچ کر کھا گئے پھر بکواس کرتے ہو ,,no
 تم کو یہ پتہ ہونا چاہئے کے ابھی اس پاک وطن کا وزیراعظم ایک خان ہے اور تم اپنی بکواس بند کرو ,,no
 نطفہ حرام کے کسی چلتی پھرتی آوارہ کھوتی کے بچے کیا ثبوت ہیں تیرے پاس رنڈی کے بچے ایسے فضول بکواس مادر چود کمینے  ,,no
" مطلب آخری کشمیری مروا کے ہی دھم لیں گے، اوہ بے غیرت شیخ بات کرنے سے پہلے سوچ تو لے کیا بکواس کرنے جارہا ہے ",,no
 بس یہی بکواس ہے خود کوئی برا نہیں بنتا بس دوسروں پر ڈال دینی ہے ذمہ داری اپنی ڈیوٹی کوئی نہیں,,no
 اچھا تو تیری ماں شہباز گل کی باپ نے چودا تھا اور تیرا باوجی کی گانڈ تیرے آقا قادیانی ,yes,
 مت بکواس کرو ,,no
کیوں جھوٹ بول کر اپنے آپ پر لعنت ڈالوا رہی ہو  ,,no
 تمہاری بکواس نے سمجھا دیا ھے کے تم کسی گندی نسل کے ھو بتانے کی ضرورت نہیں حرام کی اولاد ,,no
 بکواس کر رہا ہے یہ سالہ گندہ انڈا رپورٹنگ کرتا تھا فیس بک پر بیٹھ کر ,,no
اس نے کیا تمہاری گانڈ ماری ہے اتنی غیرت دکھاؤ اور وہاں جا کر لڑو بےغیرت تیرے ناجائز باپ نے انڈیا کو کشمیر کی ساری,yes,
 یہ کچھ بھی نہیں کرسکتا سوائے بکواس کے ,,no
"بین چود، امارا بس چلے تمہارا اتنا گانڈ مارے تم کو صحیح غلط پتہ چل جائے  ",yes,
 بے شرم اسی بکواس کی کمائی کھاتے ہیں سانحہ ساہیوال اس کے باپ کے دور میں ہوا تھا؟ ,,no
 یے تم جیسے کنجروں کی وجا سے ھے اگر کشمیر کاسودا انریکا مے ن کرتے ابھی مودی گانڈ مارے گا  ,yes,
 سمجھا ہی رہی تھی مگر یہ بکواس پر اتر آئے اور مجھے بکواس سننے کی عادت نہیں ھے چاھے سبھی مجھے انفالو کردیں,,no
ان ڈاکٹروں کی گانڈ ماری جانی چاہیے جو کہ رہے تھے کہ فریال تالپر بہت بیمار ھے  ,yes,
" گل بخاری، تقی، حقانی کالا سور سلمان حیدر اور تیری گانڈ پاکستانی مارے تو بیرونی مداخلت، اور  رنڈی کے بچے نواز پشتین نے مودی کو اپنے گھر بغیر ویزہ تیری بہن کے بلاتکار کے لئیے بلایا تھا ؟ ",yes,
 پوسٹ کرنے والے پے لعنت تم چلے جاؤ شاباش لڑنے کے لیے فوج کے خلاف بکواس بند کرو  ,,no
 بکواس بند کر کتوں کے ساتھ شادیاں کرنے والی اور گائے کا پیشاپ پینے والے ,,no
 سر ہمیں پتا ہے انڈین میڈیا ایک نمبر کے دھوکے باز اور بکواس نیوز چلاتے ہیں لومڑی میڈیا انڈین میڈیا  ,,no
 مادر چود کشمیر بیچنے والوں کے بھڑوے بھروے عوام کو پاگل سمجھ رکھا ہے کتے کے بچے کشمیر بیچ کر اب اس بکواس کا مطلب  ,,no
یہ جو ملک بیچنے کی بکواس کر رہے ہیں بندا ان سے پوچھے  ,,no
 اسی لئے آپ لوگ ہر قسم کی بکواس کرتے ہو ,,no
 اس کی گانڈ پر اتنے لیتر مارے جائیں کہ یہ سیدہ جہنم رسید ہو۔  ,yes,
مجھے معلوم ہے تجھ جیسے ماہا حرامی کی گانڈ جب تک ماری جائے تو بین چود کے بچے کتے کی طرح کاٹتے رہتے ہیں  ,yes,
کبھی کوۂی مثبت اور اچھی بات پاکستان کے لۂے یہ لعنتی کردار آپ کو نہيں کہے گا ,,no
 تم لوگ جتنی مرضی بکواس کر لو پاک فوج ہماری جان ہے ہماری شان ہے ہمارا مان ہے تم لوگ دو ٹکے کے لوس اور کر بھی کیا سکتے ہو  ,,no
 کون اے تو بکواس نا کر  ,,no
 جو کچھ عمران اور وزارت داخلہ کر رھی ھے یہ ھمیشہ کیلیے ختم کرنے والی بات ھے ن لیگ کو اور ایک سیاسی پاڑتی  یہ جتنے بھی چاہیے بھونکے ۔لیکن خان نے اسکی گانڈ ماری ہے ,yes,
پنڈی کے ہر لڑکے نے اس کی گانڈ ماری ہوئے ہے  ,yes,
 دلّے کُتے حرامی تیری بھین نوں L ,,no
 تیری ماں کے یار مودی کی بھی گانڈ مارے گے اور تجھ جیسے کتے جو پاکستان پر بھوکتے ہیں ان کی بہن بھی چودے گے,yes,
 گورایا تیری ماں کو لن دینے کے لیے مجھے موقع ملا تو میں ضرور دوں گا کتی کے پتر تیری گانڈ میں نہ گولی ماری تو,yes,
 تیری گانڈ جس جس نے ماری ہے اس کو تمغا ملے گا شکل سے ہی گانڈو لگتا ہے بغیرت,yes,
 وہ چاہتی کُتے تو بہت بھونکتا رہا اب بتا ہیجڑوں سے کیا پوچھنا ہے ریحام کتاب لکھ گئ ہے اس کو پڑھ ,,no
 میجر تمھارا باپ جنرل عطاء حسنین کیا کہہ رہا ہے یہ سن لیتے بکواس کرنے سے پہلے ,,no
" چوتیے اپنی شکل دیکھ اور اپنی بکواس، تُو جتنا بھی بھونک لے میجر غفور کے جوتے برابر بھی پہنچ نہیں سکتا ",,no
 اس نے بہت گندی بکواس کی یہ بھی کم لگ رہا مجھے  ,,no
 تمہیں کیا مل رہا ہے ایسی گھٹیا بکواس کر کے  ,,no
 سیدھی طرح بکواس کر نا جو بھی ہے کا کیا مطلب اپنے باپ کا نام بتا دنیا پاکستانی عوام کوبھی پتا چلے ان کا خیر خواہ کون ہے  ,,no
 یہ حقیقت ٹی وی کی آج تک کی سب سے بکواس ٹویٹ ہے  ,,no
سمیع اللے خوش رہ آج تو میں آج کوئی بکواس نہیں کروں گا  ,,no
 لعنتی قسم کے انسان آپس میں لڑو مرو جس کابل تم لوگ ہو چوروں ختم نبوت کے غداروں بابا جی رضوی صاحب کے بارے بولتے ہو ,,no
 اوہ مغل اپنی گندے لفافے کے لیے کشمیر پر بکواس بند کر۔وہ ہر پاکستانی کا مسئلہ سوائے تم جیسے کتوں کے ,,no
 حسین نواز پاکستان کے عوام آپ کے گانڈ مارے گا,yes,
 کیا بکواس ہے ری ٹویٹ کے ڈر سے انڈیا کشمیر چھوڑ کر بھاگ جائے گا ,,no
 مولیاں اندر کروا کروا کے اس کی گانڈ اس قابل نہیں رھی کہ ماری جاۓ  ,yes,
 تم بھی تیاری کرو جیل جانے کی بکواس بند ہو جائے گی ساری  ,,no
 بکواس بند کر حرامی کتے  ,,no
تم جیسے لٹیرے خبیث سیاست دانوں سے اس ملک کو جتنا نقصان پہنچا ہے یہ سب اسی کا نتیجہ ہے  ,,no
 اوئے لونڈے کتے اپنی بکواس بند کرو حرامی  ,,no
 بکواس بند کر  ,,no
 گھسرا گھسرے کی گانڈ مارے تو مزہ کس کو آۓ گا  ,yes,
گل تم خود بیغرت ہو اور دوسرے بیغرت کو کوٹ کر رہی ہو,yes,
 وہ واقع تو بتا جب مولوی نے بچپن میں تیری گانڈ ماری تھی ؟ ,yes,
 اس حرامی کو بھی جیل میں بند کر کے اس کی گانڈ ماری جائے اور ویڈیو ڈارک ویب پر بیلن روپوں کی بک جانے سے ,yes,
"احساس کریں، بکواس نہیں  ",,no
 بکواس بند کر خنزیرہ  ,,no
 ذلیل آدمی اپنی بکواس بند کر  ,,no
 ان کتوں نے خود کچھ کرنا نہیں ہے ۔صرف دوسروں پہ بکواس کرنی ہوتی ہے ,,no
 بکواس مت کرو  ,,no
 تو جو جس کا حادثاتی لونڈا ہے سب کو پتہ اگر اس کے خلاف بولو تو تیری تشریف میں آگ لگ جاتی ہے ,,no
اور رہی بات اگنور کرنے کی تو وہ نہیں ہوتا کوئی پاک فوج کے خلاف بکواس کرے۔  ,,no
 مشاہد کی گانڈ آپ نے ماری ہیں اس گانڈو نے بیمار ہونا ہی تھا  ,yes,
 ہاہاہا میرا سالہ اپنی باجی کی پدی صاف کر رہا ہے آج تیرا بہنوئی آ رہا ہے تیری گانڈ بھی مارے گا  ,yes,
 مریم کی گانڈ آج رات خان مارے گا پھر توں ماموں بنے گا اور ناچے گا  ,yes,
 مریم کی گانڈ میں مرچیں دیں گے آج رات اور پھر وہ بتا دے گی کے۔اسے قطری شہزادے نے چار کروڑ,yes,
اس کنجھر خسرے کی سر عام روڈ پر گانڈ ماری چاہیے۔ بیغیرت باپ کا بیغیرت بیٹا بے غیرت ہوگا تیرا باب  ,yes,
مراد ہم تیرا گانڈ مارے گا سرسوں کا تیلُ لگا کر  ,yes,
 اور تم جیسے کتوں کی پھانسی سے پہلے گانڈ بھی ماری جائے  ,yes,
 تیری گانڈ مارے بندہ اور رونے بھی نہ دے  ,yes,
 اسکی شیخ رشید نے گانڈ ماری ہوگی ,yes,
 جس بندے کی گانڈ اُس کا اپنا ماموں مارے اس کی ذہنی حالت ایسی ہی ہو گی  ,yes,
 میرے باپ نے تو تیری امی کی گانڈ بھی ماری تھی وہ تجھے یاد نہیں  ,yes,
اس نے چوت کے بجائے گانڈ میں ڈال دیا تھا,yes,
" اس کی ہو یا نہ ہو تم لوگوں کی وہ ایسی گانڈ مارے گا نہ، دنیا میں نہ کسی کو بتا سکو گے نہ چھپا سکو گے  ",yes,
 تم جس طرح بھی بھونکتے رہو۔لیکن خان نے تمھاری گانڈ ماری ہے  ,yes,
 ببلو گانڈ سے سر نکالو اور دیکھو دنیا میں کیا ہو رھا ہے۔ ورنہ اسی حالت میں مارے جاؤ گے۔  ,yes,
 یہ رنڈی پاکستان وآپس آئے تو عوام کو چاہیئے جہاں بھی نظر آئے اس کو پکڑ کہ اس رنڈی کی گانڈ کا کیڑا مارے  ,yes,
 گانڈو ضمیر فروش تمہارے ابو نے پارلیمنٹ میں بتا دیا ہے ہم انڈیا کے اندرونی معاملات میں مداخلت نہیں کر,yes,
 کیوں اپوزیشن نے تیری شلوار اتار کر گانڈ ماری ہے ؟  ,yes,
 خان تیری گانڈ بھی مارے گا اور تجھے پتہ بھی نہی چلے گا گھٹیا عورت,yes,
اپوزیشن کا صرف ایک ہی اعلاج ہے ان کی گانڈ میں گولیاں ماری جائیں یہ مادرچود کے بچے اس ملک کا بھلا کبھی نہیں چاہینگے,yes,
 فوج نے کونسا تیری گانڈ ماری ہے جو بھونکتا جا رہا ہے۔۔ نکل تیری زات کا بھیدا ماروں,yes,
 ڈیل پوئ کہ ارسطو کی گانڈ مودی مارے گا جبکہ مریم یم یم روایتی طور پر قطری کو پیش کی جائے گی,yes,
 پکڑ کر اس کی گانڈ مارے نیب صرف گانڈ پھاڑے مار مار کر اور مریم صفدر کی چیخیں نکلوائے,yes,
جب آپ کی چوت ماری جا رہی تھی تب کا آپ کو پتہ ہے یا نہیں  ,yes,
 ریہام خان تیری گانڈ ایسی ماری عمران خان نے کہ گشتوڑی تجھے رے رے کر درد اٹھتا ہے اور یہ درد ہی ہمیں مزہ,yes,
 اہو اب بہت ساروں کی گانڈ میں چالیس ملک امت امت والا کیڑا سٹ مارے گا,yes,
 کیا گانڈ ماری ہے خان صاحب نے علی زیدی کی  ,yes,
او چولو ابھی جو کشمیر میں شہید ہو رہے وہ کہاں سے پاکستانی ہیں ؟ اگر گانڈ دکھانی تھی تو ستر سال سے نعرے کیوں مارے؟,yes,
پتوکی جلسے میں نواز شریف کے شیر نے سٹیج پر آپ کی گانڈ میں اُنگلی دی,yes,
 یار افغانیوں کی ماں بہن کی چدائی کرنے کا بہت مزہ آتا ہے بہت سفید,yes,
ہندوستان آج بھی ابوالکلام آزاد جیسے غلام ذہنیت مسلمانوں سے بھرا پڑا,yes,
انکی صحیح گانڈ ماری جا ری ,yes,
 اک بات بتاؤ اگر کویی تمہاری گانڈ مار دے تو تم اسکو معاف کر دو گے اور بولو گے,yes,
 زرداری صاحب ان کی گانڈ مارے گا تھوڑا صبر کر جاؤ  ,yes,
 رنڈی کے بچے یہ تیرا اور تیرے لندن والوں کا کام ہے تیری گانڈ ماری ہے کیا مصط,yes,
" ہر اُس شخص کی گانڈ مارے گیِ فوج جو پاکستان سے غداری کرے گا، چاہے وہ کسی بھی قوم سے ہو، ہر غدار کو انجام تک پہنچایا جائے گا ",yes,
 جی بیٹا میں تماری گانڈ ہم نے بہت اچھے طریقے سے ماری تھی جسے تم ابھی,yes,
" کیا گدھا راگنی شروع کی ہوئی ہے آپ سب گدھا خوروں نے، گدھی کے بچو",yes,
اوہ کسی کھوتی کے بچو بنا بنایا پاکستان تم کو دیا اور تم بیغرتوں نے اسکا برا حال کر دیا ۔۔,yes,
لعنت تمھارے ٹوٹ کرنے پر بے شرمی کی انتہا ہے تمھارے اندر۔,yes,
 اور تیری گانڈ میں بلا دیں گے بے غیرت خبیث انسان ,yes,
 اب تیری گانڈ مارنے کا ٹائم آنے والا ہے تھوڑا انتظار کرو کنجروں کی ترجمانی کرنے والی گشتی ,yes,
 ایک تو یہ بھی تیرا ٹھوکو تھا ویسے گانڈ مرواتے مرواتے تع دلال بھی بن گیا اور پھر مشہور زمانہ گانڈو دل,yes,
 تیری گانڈ میں بنا تھوک کے کب دوں  گشتی رن ,yes,
 کسی گشتی کے بچے کسے کتے کی آوارہ اولاد مادر چود کے بچے تیری گانڈ میں کیڑا,yes,
بس کر چوتیے بانسوں پہ پرچم چڑھاکر ملک کے نام روشن نہیں ہوتے,yes,
خدارا گانڈ آپ کو قدرت نے کسی اور کام کے لیے دی ھے اور آپ نے اسے روزگار کا ذریعہ بنایا ھوا ھے ,yes,
 تیری بہن کو چود رہا ہوں ابھی پھر تیرے ابے کی گانڈ مار کے تیری ماں کو چودوں گا ,yes,
یہ گندہ انڈہ قلم فروش کیا ثابت کرنے کی کوشش کر رہا ہے۔,yes,
 تیری بہن کو چود رہا ہوں ابھی پھر تیرے ابے کی گانڈ مار کے تیری ماں کو چودوں گا ,yes,
 اس بہن چود کی گانڈ میں بھی ڈنڈا دو ,yes,
 بے شرم انسان کشمیر کے لوگ بھی مر رہے ہے منہ کھولنا ہےتو ادھر کھول بہن چود بھڑوا گانڈو ,yes,
 جا او کتے بچے سور کی اولاد گانڈو بہن چود ,yes,
 بہن چود گانڈو نسل پہلے نواز شریف کی چاٹتا تھا پھر اس کی اولاد کی اور اب اس کی اولاد… ,yes,
 تم سب لوڑے اس وقت جمہوریت کی گانڈ میں سوئے مرے تھے جب ماں ئولنا ڈیزل کشمیر کمیٹی کا چئیرمین تھا کبھی پوچھ… ,yes,
 منہ میں ڈال لے اس کا بھوسڑی کے گانڈو انڈینز کو میجر صاحب اور اپنوں کو گالی تیرے جیس… ,yes,
 مراد سعید تو حرامی ہے اور تیرا کتا باپ عمرو نیازی مادرچود ہے تم دونوں گانڈو واشل ہو انڈیا نے تم سب ک… ,yes,
 جو دھندے تم سندھی بھڑوے کرتے ھو وہی بیان کر رھے ھو گانڈو گھوڑا رے گھوڑا کے علاوہ تم لوگو… ,yes,
 جسکو ٹیگ کررہا ہے نا تو یہ اسی مادرچود حرام النسل گانڈو کی بیٹی ہے جس نے کشمیری مجاہدین… ,yes,
یہ گانڈو خود کو سندھی بولتا ھے مگر فخر بلوچ ھونے پر کرتا ھے اور خود کا بلوچست… ,yes,
 گانڈ ماراو مادرچود ,yes,
" اوئے گانڈو کے جھریوں والے لوڑے، تو پہلے لکھنا سیکھ لے مادرچود، جُگت بعد م… ",yes,
 تیری ماں دا ٹھوکو خان کُتی ماں دا بچہ ویچ آیا ای کشمیر مادرچودو غدارو تم لوگوں گی گانڈ میں ایسا ڈنڈا… ,yes,
 نکل بھوسڑی کے مادرچود گانڈو ,yes,
اس انڈین کی ویڈیو دیکھ کر آپ کا دل چاہے گا کہ ہم اپنے یوٹیوبرز کو گولی مار دے وہ بھی ان کی گانڈ میں۔۔۔ ,yes,
ایسے کتوں کو گانڈ میں گولی مارنی چاہیے ,yes,
ابھی کنجروں کے حوالے کر دیں تمھارا چورن نہیں بکنے والا بچو ۔جا شاباش جا کے گانے گا اپنی بیہودہ آواز میں۔آج کیلئے اتنا کافی ہے,yes,
 جیسی گانڈو لیڈر شپ ھے ویسے ھی فولورز بھی ہیں ۔ ,yes,
گانڈے اندروٹ والے مشتاق صاحب اور ایڈوکیٹ طارق صاحب کے بھائی الطاف صاحب کا انتقال ہو گیا ہے اللہ ان کی مغفرت فرمائے ,yes,
گانڈ لگنی پٹنے پرساد لگی بٹنے ,yes,
جنگ ہو تو گانڈ پھٹی ,yes,
"تو کھوتی کے بچو، ہٹاو نا انکو ، کدھر ہیں تمہارے ھڈ حرام عملہ جس کا کام ہی تاروں کی سیٹنگ…",yes,
